character,universe,page_length
Henry Hall,Prime Earth,378241
"Henry Heywood, Sr.",New Earth,380815
Herakles,New Earth,387112
Heraphon,New Earth,355315
Hightower,Wildstorm Universe,371712
Hippolyta,Tempest Tossed,383033
Hippolyta,Warbringer,378993
Horace Lafeaugh,Pre-Zero Hour,360333
Human Bomb II,Earth 10,358091
Hunter Zolomon,New Earth,429286
Idamm,Prime Earth,352337
Immorto,Pre-Zero Hour,352548
Impulse,DC One Million,371139
Iris West,Arrowverse,380070
Iris West,DCAU,363327
Iris West II,Earth-22,370198
Iris West II,New Earth,374604
Iris West II,Prime Earth,376156
Ishmael Gregor,New Earth,387961
Ivana Molotova,Prime Earth,362791
Jack Ryder,DCAU,364900
Jack Ryder,Earth-22,357380
Jack Ryder,Lego Batman,365463
Jack Ryder,New Earth,401093
Jackie,Powerless,361351
Jai West,Prime Earth,374655
James Harper clone,New Earth,380285
Jared Morillo,New Earth,362303
Jason Garrick,DCAU,372095
Jason Garrick,Earth 2,396369
Jason Garrick,Earth-2,369119
Jason Garrick,Earth-508,361040
Jason Garrick,Future State,366296
Jason Garrick,Lightning in a Bottle,364299
Jason Garrick,New Earth,419937
Jason Garrick,Smallville,378953
Jason Garrick,The Brave and the Bold,372545
Jason Keralis,Warbringer,378751
Jay West,Earth-3839,362342
Jean-Paul Ludovic Valley,New Earth,367382
Jean-Paul Valley,Lego Batman,361683
Jean-Paul Valley,New Earth,454235
Jeannette,New Earth,363585
Jebediah of Canaan,New Earth,394208
Jefferson Pierce,New Earth,418499
Jenni Ognats,Post-Zero Hour,376160
Jenni Ognats,Prime Earth,371754
Jennifer Sparks,Wildstorm Universe,385282
Jeremy Stone,Wildstorm Universe,379391
Jess Chambers,Earth 11,369998
Jesse Chambers,Created Equal,362926
Jesse Chambers,DC Legends,359855
Jesse Chambers,DCeased,366801
Jesse Chambers,Earth-508,362223
Jesse Chambers,New Earth,392195
Jesse Chambers,Prime Earth,378265
Jesse Chambers,Tiny Titans,362092
Jesse Quick,Earth 11,366269
Jessie Quick,Ame-Comi,369350
Jodi Morinaka Slayton,Wildstorm Universe,374264
John Cooper Hawksmoor,Wildstorm Universe,407642
John Lynch,Wildstorm Universe,377388
Jonathan Allen,Earth 3,379306
Jonathan Chambers,DC Legends,360975
Jonathan Chambers,Prime Earth,369505
Jonathan Fox,New Earth,380303
Jonathan Samuel Kent,Prime Earth,431938
Jordan Kent,Arrowverse,385826
Joseph Chamberlain,Prime Earth,374727
Joseph Wilson,New Earth,387020
Kaizen Gamorra (Yohn Kohl),Wildstorm Universe,364704
Kal Kent,DC One Million,395600
Kal-El,Earth-One,1215737
Kal-El,Earth-Prime,518432
Katar Hol,The Batman TV Series,370685
Keith Kenyon,Arrowverse,357357
Kendra Saunders,New Earth,411323
Kendra Saunders,Prime Earth,407383
Kenesha of Khera,Wildstorm Universe,374044
Khalil Payne,Black Lightning TV Series,376569
Kid Flash,Teen Titans Go! TV Series,370231
Kid Flash,Teen Titans TV Series,366417
Killspeed,Prime Earth,366913
Kirk DePaul,New Earth,353916
Knockout,New Earth,397816
Knockout,Prime Earth,365620
Kon-El,Futures End,361877
Kon-El,Prime Earth,527852
Kryptonians,Kryptonian,424667
Lady Charis,Wildstorm Universe,387613
Lana Lang,Smallville,411793
Last Call,Wildstorm Universe,356255
Lennox,Prime Earth,361176
Lex Luthor,DCAU,393025
Lincoln March,Prime Earth,385307
Lion-Mane,Prime Earth,371317
Lord Beyond the Void,Prime Earth,366953
Maeve,Warbringer,375917
Majestros,Wildstorm Universe,442901
Marc Slayton,Wildstorm Universe,383316
Mari McCabe,DCAU,361732
Mari McCabe,Lego Batman,361865
Mari McCabe,Prime Earth,391506
Mary Batson,DCAU,379821
Mary Batson,Earth-22,374879
Mary Batson,Justice,363425
Mary Batson,Magic of Shazam,369494
Mary Batson,New Earth,415700
Mary Turner,Prime Earth,387107
Matthew Cable,Prime Earth,370218
Max Mercury,DCeased,365858
Max Mercury,Future State,367950
Max Mercury,New Earth,383535
Max Mercury,Titans Tomorrow,362958
Maxine Baker,Prime Earth,385554
Maxwell Crandall,Flashpoint Timeline,359664
Mei Ling,Prime Earth,357853
Mercury Flash,Earth 44,367319
Midnighter,Future State,366605
Midnighter,Prime Earth,381278
Midnighter,Wildstorm Universe,404314
Mikaal Tomas,New Earth,376870
Mitchell Shelley II,Prime Earth,360403
Mongul,Prime Earth,408230
Mordru,Pre-Zero Hour,382790
Morphicius,Prime Earth,355496
Nathaniel Barnes,Gotham,369787
Nereus,Prime Earth,386500
Niatpac Levram,Earth-S,376919
Nikki Faure,Earth-9,351561
Nikolas Kamarov,Wildstorm Universe,384956
Nix Uotan,Prime Earth,378323
Nora West-Allen,Arrowverse,403380
Nyx,New Earth,354493
Oliver Truly,Prime Earth,353159
Olympia Atreidae,Wildstorm Universe,374124
Orion,New Earth,385771
Orm Marius,Prime Earth,465020
Paul Kirk II,New Earth,365684
Percival Edmund Chang,Prime Earth,366705
Percival Edward Chang,Gen 13 Movie,350318
Persephone,Wildstorm Universe,372860
Pestilence,Earth 2,387378
Peter Cannon,New Earth,379804
Platinum,Gods and Monsters,359573
Pollux,Flash 1990 TV Series,366661
Power Boy,New Earth,384899
Power Boy,Prime Earth,355140
Priscilla Kitaen,Wildstorm Universe,397155
Quanto,Pre-Zero Hour,382824
R'amey Holl,New Earth,375366
Raven,Wildstorm Universe,364020
Raymond Terrill,New Earth,410975
Red Racer,Earth 36,375890
Richard Kent Shakespeare,Pre-Zero Hour,363760
Robert Castro,Prime Earth,355842
Roman Sionis,New Earth,439305
Rosabelle Mendez,New Earth,370999
Rose Tattoo,Prime Earth,366585
Rose Tattoo,Wildstorm Universe,372285
Rose Wilson,DCeased,366084
Rose Wilson,Future State,357904
Rose Wilson,Prime Earth,394337
Rose Wilson,Smallville,353844
Roy Harper,Arrowverse,392927
Rrall,New Earth,354635
Ryan Kendall,New Earth,377571
Sage Force,Sage Forc,348014
Sala Nisaba,New Earth,360037
Salvador Joel Alonday,Wildstorm Universe,373110
Sandalphon,New Earth,357071
Sasha Bordeaux,New Earth,381516
Savitar,Prime Earth,362351
Scourge,New Earth,354228
Sebastian Ashe,Wildstorm Universe,357459
Sela Allen,New Earth,362753
Shay Lamden,Arrowverse,359904
Shazam,Billy Batson,450852
Shazam,Magic of Shazam,364559
Shiera Sanders,New Earth,393847
Siobhan McDougal,New Earth,376721
Sister Eve,Wildstorm Universe,362046
Sky Tyrant,Earth 3,392650
Slade Wilson,Arkhamverse,402352
Slade Wilson,Arrowverse,397446
Slade Wilson,DCeased,359952
Slade Wilson,Futures End,363339
Slade Wilson,Injustice,393053
Slade Wilson,Prime Earth,551956
Slade Wilson,Smallville,365062
Slobo,New Earth,366875
Slyxx,Wildstorm Universe,370298
Sofia Ramos,Prime Earth,369889
Solis,New Earth,389929
Speed Freak,Earth 47,365178
Stealth,New Earth,371547
Superboy,DC Animated Movie Universe,389653
Swamp King,Dark Multiverse,360962
Tag Harris,Arrowverse,358195
Taiana Venediktov,Arrowverse,366875
Talon of 1780,Prime Earth,354170
Tanaka Rei,Earth-D,369139
Tanist,DC One Million,375829
Teri Magnus,Justice League 3000,375805
Teth-Adam,DCAU,377001
Teth-Adam,Earth-16,377557
Teth-Adam,Harley Quinn TV Series,372322
Teth-Adam,Justice,375676
Teth-Adam,Lego Batman,368974
Teth-Adam,New Earth,426641
Teth-Adam,Prime Earth,447884
Teth-Adam,Return of Black Adam,381639
Teth-Adam,The Brave and the Bold,375429
Thaddeus Sivana,DC Extended Universe,402587
Theo Adam,Magic of Shazam,367501
Theodore Galavan,Gotham,370012
Thomas Snow,Arrowverse,363746
Thrax,Wonder Woman 2009 Movie,360917
Timothy Karnes,New Earth,366217
Trace Wyndham,Legends of the Dead Earth,358865
Trigon,Teen Titans Go! TV Series,366045
Troll,New Earth,353261
Tsavo,Prime Earth,362588
Tyrell,Earth-1,360324
Unknown Soldier,Prime Earth,386719
Unknown Soldier II,New Earth,357134
Uriah Boone,Prime Earth,352590
Vandal Savage,DC Animated Movie Universe,360399
Vandal Savage,DCAU,380804
Vandal Savage,Earth-16,376217
Vandar Adg,Prime Earth,393902
Vincent Sobel,Arrowverse,365720
Virgil Hawkins,Prime Earth,382593
Wallace Allen,Mash-Up,362910
Wallace R. West,DC Animated Movie Universe,367938
Wallace R. West,DC Legends,370210
Wallace R. West,DCeased,367436
Wallace R. West,Earth -52,365404
Wallace R. West,Lego Batman,370925
Wallace R. West,Once and Future,367310
